timestamp,cpu_usage_percentage,Assignments
01-04-2024 00:00,10.26,0
01-04-2024 00:01,2.75,0
01-04-2024 00:02,2.82,0
01-04-2024 00:03,9.34,0
01-04-2024 00:04,29.39,0
01-04-2024 00:05,5.26,0
01-04-2024 00:06,0.51,0
01-04-2024 00:07,22.9,0
01-04-2024 00:08,24.21,0
01-04-2024 00:09,10.39,0
01-04-2024 00:10,13.94,0
01-04-2024 00:11,19.49,0
01-04-2024 00:12,1.44,0
01-04-2024 00:13,28.47,0
01-04-2024 00:14,26.6,0
01-04-2024 00:15,7.83,0
01-04-2024 00:16,0.46,0
01-04-2024 00:17,28,0
01-04-2024 00:18,15.03,0
01-04-2024 00:19,16.18,0
01-04-2024 00:20,20.52,0
01-04-2024 00:21,18.48,0
01-04-2024 00:22,28.32,0
01-04-2024 00:23,28.33,0
01-04-2024 00:24,26.02,0
01-04-2024 00:25,19.09,0
01-04-2024 00:26,24.03,0
01-04-2024 00:27,20.32,0
01-04-2024 00:28,17.2,0
01-04-2024 00:29,3.86,0
01-04-2024 00:30,24.34,0
01-04-2024 00:31,24.62,0
01-04-2024 00:32,18.78,0
01-04-2024 00:33,24.61,0
01-04-2024 00:34,92.03,1
01-04-2024 00:35,6.2,0
01-04-2024 00:36,8.22,0
01-04-2024 00:37,6.44,0
01-04-2024 00:38,11.32,0
01-04-2024 00:39,1.17,0
01-04-2024 00:40,18.55,0
01-04-2024 00:41,10.1,0
01-04-2024 00:42,19.67,0
01-04-2024 00:43,11.56,0
01-04-2024 00:44,20.45,0
01-04-2024 00:45,10.22,0
01-04-2024 00:46,7.82,0
01-04-2024 00:47,14.88,0
01-04-2024 00:48,31.24,0
01-04-2024 00:49,10.45,0
01-04-2024 00:50,28.1,0
01-04-2024 00:51,1.18,0
01-04-2024 00:52,46.4,0
01-04-2024 00:53,29.03,0
01-04-2024 00:54,16.44,0
01-04-2024 00:55,12.7,0
01-04-2024 00:56,17.06,0
01-04-2024 00:57,17.28,0
01-04-2024 00:58,21.95,0
01-04-2024 00:59,3.83,0
01-04-2024 01:00,7.5,0
01-04-2024 01:01,17.42,0
01-04-2024 01:02,26.01,0
01-04-2024 01:03,16.86,0
01-04-2024 01:04,7.16,0
01-04-2024 01:05,20.4,0
01-04-2024 01:06,22.2,0
01-04-2024 01:07,7.15,0
01-04-2024 01:08,11.33,0
01-04-2024 01:09,16.03,0
01-04-2024 01:10,14.9,0
01-04-2024 01:11,11.69,0
01-04-2024 01:12,8.93,0
01-04-2024 01:13,3,0
01-04-2024 01:14,1.6,0
01-04-2024 01:15,28.76,0
01-04-2024 01:16,25.41,0
01-04-2024 01:17,10.65,0
01-04-2024 01:18,28.7,0
01-04-2024 01:19,20.3,0
01-04-2024 01:20,14.48,0
01-04-2024 01:21,14.79,0
01-04-2024 01:22,2.5,0
01-04-2024 01:23,2.75,0
01-04-2024 01:24,18.07,0
01-04-2024 01:25,16.61,0
01-04-2024 01:26,6.38,0
01-04-2024 01:27,28.39,0
01-04-2024 01:28,23.44,0
01-04-2024 01:29,3.4,0
01-04-2024 01:30,27.93,0
01-04-2024 01:31,29.23,0
01-04-2024 01:32,29.88,0
01-04-2024 01:33,1.68,0
01-04-2024 01:34,22.11,0
01-04-2024 01:35,16.38,0
01-04-2024 01:36,133.39,1
01-04-2024 01:37,29.06,0
01-04-2024 01:38,20.64,0
01-04-2024 01:39,25.11,0
01-04-2024 01:40,26.01,0
01-04-2024 01:41,25.15,0
01-04-2024 01:42,12.78,0
01-04-2024 01:43,6.68,0
01-04-2024 01:44,3.04,0
01-04-2024 01:45,26.76,0
01-04-2024 01:46,4.4,0
01-04-2024 01:47,15.4,0
01-04-2024 01:48,7,0
01-04-2024 01:49,17.44,0
01-04-2024 01:50,25.89,0
01-04-2024 01:51,26.41,0
01-04-2024 01:52,7.1,0
01-04-2024 01:53,27.23,0
01-04-2024 01:54,17.76,0
01-04-2024 01:55,10.51,0
01-04-2024 01:56,21.25,0
01-04-2024 01:57,14.45,0
01-04-2024 01:58,11.34,0
01-04-2024 01:59,21.15,0
01-04-2024 02:00,113.24,1
01-04-2024 02:01,9.91,0
01-04-2024 02:02,13.03,0
01-04-2024 02:03,7.61,0
01-04-2024 02:04,12.16,0
01-04-2024 02:05,17.14,0
01-04-2024 02:06,22.23,0
01-04-2024 02:07,23.02,0
01-04-2024 02:08,24.68,0
01-04-2024 02:09,22.33,0
01-04-2024 02:10,20.43,0
01-04-2024 02:11,7.13,0
01-04-2024 02:12,12.01,0
01-04-2024 02:13,14.33,0
01-04-2024 02:14,2.49,0
01-04-2024 02:15,15.85,0
01-04-2024 02:16,13.09,0
01-04-2024 02:17,24.06,0
01-04-2024 02:18,29.34,0
01-04-2024 02:19,16.68,0
01-04-2024 02:20,9.68,0
01-04-2024 02:21,1.3,0
01-04-2024 02:22,27.74,0
01-04-2024 02:23,27.57,0
01-04-2024 02:24,7.59,0
01-04-2024 02:25,20.86,0
01-04-2024 02:26,2.26,0
01-04-2024 02:27,107.51,1
01-04-2024 02:28,6.5,0
01-04-2024 02:29,8.83,0
01-04-2024 02:30,29.87,0
01-04-2024 02:31,20.91,0
01-04-2024 02:32,11.53,0
01-04-2024 02:33,22.11,0
01-04-2024 02:34,27.46,0
01-04-2024 02:35,28.76,0
01-04-2024 02:36,1.74,0
01-04-2024 02:37,11.84,0
01-04-2024 02:38,3.2,0
01-04-2024 02:39,10.07,0
01-04-2024 02:40,5.09,0
01-04-2024 02:41,19.41,0
01-04-2024 02:42,11.65,0
01-04-2024 02:43,6.88,0
01-04-2024 02:44,7.98,0
01-04-2024 02:45,10.81,0
01-04-2024 02:46,7.8,0
01-04-2024 02:47,13.6,0
01-04-2024 02:48,0.97,0
01-04-2024 02:49,8.39,0
01-04-2024 02:50,12.34,0
01-04-2024 02:51,18.08,0
01-04-2024 02:52,8.13,0
01-04-2024 02:53,4,0
01-04-2024 02:54,110.55,1
01-04-2024 02:55,28.22,0
01-04-2024 02:56,12.5,0
01-04-2024 02:57,17.43,0
01-04-2024 02:58,27.58,0
01-04-2024 02:59,2.48,0
01-04-2024 03:00,26.3,0
01-04-2024 03:01,16.55,0
01-04-2024 03:02,4.95,0
01-04-2024 03:03,12.34,0
01-04-2024 03:04,23.33,0
01-04-2024 03:05,14.41,0
01-04-2024 03:06,29.56,0
01-04-2024 03:07,11.3,0
01-04-2024 03:08,22.49,0
01-04-2024 03:09,11.79,0
01-04-2024 03:10,24.87,0
01-04-2024 03:11,17.07,0
01-04-2024 03:12,1.91,0
01-04-2024 03:13,1.1,0
01-04-2024 03:14,121.31,1
01-04-2024 03:15,0.41,0
01-04-2024 03:16,2.26,0
01-04-2024 03:17,20.75,0
01-04-2024 03:18,16.03,0
01-04-2024 03:19,9.67,0
01-04-2024 03:20,27.39,0
01-04-2024 03:21,17.55,0
01-04-2024 03:22,21.78,0
01-04-2024 03:23,22.71,0
01-04-2024 03:24,11.34,0
01-04-2024 03:25,7.23,0
01-04-2024 03:26,6.15,0
01-04-2024 03:27,116.98,1
01-04-2024 03:28,8.24,0
01-04-2024 03:29,6.22,0
01-04-2024 03:30,26.35,0
01-04-2024 03:31,22.71,0
01-04-2024 03:32,1.41,0
01-04-2024 03:33,8.06,0
01-04-2024 03:34,0.67,0
01-04-2024 03:35,133.8,1
01-04-2024 03:36,14.29,0
01-04-2024 03:37,24.94,0
01-04-2024 03:38,9.23,0
01-04-2024 03:39,24.49,0
01-04-2024 03:40,29.04,0
01-04-2024 03:41,2.65,0
01-04-2024 03:42,23.75,0
01-04-2024 03:43,17.7,0
01-04-2024 03:44,14.4,0
